Day,Age,Gender,A,B,C,D,E,F
4/10/2022,15-25,Male,907,318,526,262,91,298
4/10/2022,>25,Male,280,618,482,58,608,831
4/10/2022,15-25,Female,616,842,220,51,73,339
4/10/2022,>25,Female,296,159,646,890,308,330
5/10/2022,15-25,Male,61,136,96,715,366,920
5/10/2022,>25,Male,937,86,296,417,629,690
5/10/2022,15-25,Female,411,577,691,201,803,357
5/10/2022,>25,Female,179,572,585,290,813,361
6/10/2022,15-25,Male,856,432,859,122,52,814
6/10/2022,>25,Male,17,608,69,500,75,308
6/10/2022,15-25,Female,750,854,839,30,480,652
6/10/2022,>25,Female,859,977,95,992,705,753
7/10/2022,15-25,Male,802,958,643,751,829,274
7/10/2022,>25,Male,807,133,879,753,904,102
7/10/2022,15-25,Female,425,286,876,386,688,551
7/10/2022,>25,Female,515,647,30,915,871,353
8/10/2022,15-25,Male,645,232,609,621,300,419
8/10/2022,>25,Male,448,816,302,747,730,367
8/10/2022,15-25,Female,497,505,853,666,319,979
8/10/2022,>25,Female,986,873,988,604,78,227
9/10/2022,15-25,Male,297,577,111,973,418,987
9/10/2022,>25,Male,409,790,785,800,242,403
9/10/2022,15-25,Female,147,446,330,15,125,365
9/10/2022,>25,Female,498,961,838,55,907,972
10/10/2022,15-25,Male,503,614,344,708,188,87
10/10/2022,>25,Male,462,404,800,354,234,273
10/10/2022,15-25,Female,249,952,367,514,856,967
10/10/2022,>25,Female,423,835,158,721,292,564
11/10/2022,15-25,Male,800,149,714,384,486,619
11/10/2022,>25,Male,620,917,989,148,754,772
11/10/2022,15-25,Female,740,667,360,70,523,475
11/10/2022,>25,Female,181,749,52,751,32,953
12/10/2022,15-25,Male,390,1000,52,61,99,901
12/10/2022,>25,Male,368,649,570,337,43,413
12/10/2022,15-25,Female,544,449,41,32,108,265
12/10/2022,>25,Female,48,270,578,390,426,480
13/10/2022,15-25,Male,990,347,380,458,844,363
13/10/2022,>25,Male,142,244,981,504,792,167
13/10/2022,15-25,Female,302,592,573,767,896,961
13/10/2022,>25,Female,409,575,933,407,304,391
14/10/2022,15-25,Male,605,603,901,426,676,795
14/10/2022,>25,Male,260,998,109,928,695,220
14/10/2022,15-25,Female,623,157,290,555,251,243
14/10/2022,>25,Female,977,110,618,572,903,920
15/10/2022,15-25,Male,426,643,328,706,290,749
15/10/2022,>25,Male,375,184,506,579,514,264
15/10/2022,15-25,Female,911,639,76,250,307,26
15/10/2022,>25,Female,559,844,45,516,367,857
16/10/2022,15-25,Male,745,462,421,285,573,192
16/10/2022,>25,Male,139,934,635,36,601,677
16/10/2022,15-25,Female,78,995,742,4,476,140
16/10/2022,>25,Female,266,625,412,721,218,104
17/10/2022,15-25,Male,845,986,824,469,650,362
17/10/2022,>25,Male,927,471,568,955,322,489
17/10/2022,15-25,Female,634,798,101,298,176,678
17/10/2022,>25,Female,428,714,251,20,749,420
18/10/2022,15-25,Male,330,801,937,929,999,119
18/10/2022,>25,Male,367,503,541,747,962,237
18/10/2022,15-25,Female,665,896,572,205,422,19
18/10/2022,>25,Female,103,110,721,749,175,472
19/10/2022,15-25,Male,248,39,529,591,215,789
19/10/2022,>25,Male,970,83,409,860,433,598
19/10/2022,15-25,Female,248,501,274,519,182,342
19/10/2022,>25,Female,762,161,601,591,321,348
20/10/2022,15-25,Male,647,505,265,217,620,573
20/10/2022,>25,Male,284,569,395,429,591,251
20/10/2022,15-25,Female,672,83,588,913,548,117
20/10/2022,>25,Female,629,843,929,255,769,885
21/10/2022,15-25,Male,946,415,135,908,805,180
21/10/2022,>25,Male,902,165,430,69,1000,523
21/10/2022,15-25,Female,657,770,29,798,751,679
21/10/2022,>25,Female,219,226,415,345,703,496
22/10/2022,15-25,Male,589,782,8,589,617,205
22/10/2022,>25,Male,87,127,76,299,773,212
22/10/2022,15-25,Female,446,228,158,914,54,482
22/10/2022,>25,Female,787,927,83,166,110,768
23/10/2022,15-25,Male,976,577,201,722,831,136
23/10/2022,>25,Male,5,890,242,397,518,428
23/10/2022,15-25,Female,238,159,904,966,371,57
23/10/2022,>25,Female,771,697,63,765,622,657
24/10/2022,15-25,Male,588,283,977,110,940,632
24/10/2022,>25,Male,274,278,868,508,449,427
24/10/2022,15-25,Female,940,601,369,829,211,986
24/10/2022,>25,Female,844,959,111,190,40,59
25/10/2022,15-25,Male,593,335,365,692,77,812
25/10/2022,>25,Male,89,487,333,464,461,188
25/10/2022,15-25,Female,622,212,699,937,231,455
25/10/2022,>25,Female,813,773,216,839,503,401
26/10/2022,15-25,Male,886,270,552,623,82,895
26/10/2022,>25,Male,261,673,603,90,350,919
26/10/2022,15-25,Female,396,586,4,456,227,89
26/10/2022,>25,Female,479,622,608,721,328,122
27/10/2022,15-25,Male,737,109,362,815,96,446
27/10/2022,>25,Male,282,885,17,730,349,751
27/10/2022,15-25,Female,624,432,755,799,891,746
27/10/2022,>25,Female,516,457,585,707,807,158
28/10/2022,15-25,Male,735,588,30,291,902,898
28/10/2022,>25,Male,991,518,183,366,878,671
28/10/2022,15-25,Female,534,161,224,791,994,976
28/10/2022,>25,Female,583,629,845,89,590,9
29/10/2022,15-25,Male,658,397,531,421,406,720
29/10/2022,>25,Male,474,662,671,963,718,83
29/10/2022,15-25,Female,331,992,810,598,12,631
29/10/2022,>25,Female,174,702,419,307,883,580
